"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with wrong password","427","Invalid password","Surefire suite","Mon Jun 16 17:16:18 GMT 2025","passed","Mon Jun 16 17:16:18 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Validation continue button","545","Validation continue button","Surefire suite","Mon Jun 16 17:16:21 GMT 2025","passed","Mon Jun 16 17:16:22 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"Validation your information form","820","Validation your information form","Surefire suite","Mon Jun 16 17:16:13 GMT 2025","passed","Mon Jun 16 17:16:14 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Check Locator","1130","checkLocator","Surefire suite","Mon Jun 16 17:16:07 GMT 2025","passed","Mon Jun 16 17:16:08 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Validation all items from product cart","648","Validation all items from product cart","Surefire suite","Mon Jun 16 17:16:23 GMT 2025","passed","Mon Jun 16 17:16:24 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"","391","login","Surefire suite","Mon Jun 16 17:16:19 GMT 2025","passed","Mon Jun 16 17:16:20 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation your information form","1241","Validation your information form","Surefire suite","Mon Jun 16 17:16:09 GMT 2025","passed","Mon Jun 16 17:16:10 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation your information form","828","Validation your information form","Surefire suite","Mon Jun 16 17:16:12 GMT 2025","passed","Mon Jun 16 17:16:13 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","415","login","Surefire suite","Mon Jun 16 17:16:20 GMT 2025","passed","Mon Jun 16 17:16:21 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation shopping cart value","0","Validation shopping cart value","Surefire suite","Mon Jun 16 17:15:59 GMT 2025","unknown","Mon Jun 16 17:15:59 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"Locator Validation","1","checkLocator","Surefire suite","Mon Jun 16 17:15:59 GMT 2025","unknown","Mon Jun 16 17:15:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"Validation login","0","Validation login","Surefire suite","Mon Jun 16 17:15:59 GMT 2025","unknown","Mon Jun 16 17:15:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Validation Login with empty Password","393","Validation Login with empty Password","Surefire suite","Mon Jun 16 17:16:19 GMT 2025","passed","Mon Jun 16 17:16:19 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Validation Logout","614","Validation Logout","Surefire suite","Mon Jun 16 17:16:22 GMT 2025","passed","Mon Jun 16 17:16:23 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 17:15:59 GMT 2025","unknown","Mon Jun 16 17:15:59 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"Validation your information form","826","Validation your information form","Surefire suite","Mon Jun 16 17:16:11 GMT 2025","passed","Mon Jun 16 17:16:11 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
