"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation your information form","784","Validation your information form","Surefire suite","Mon Jun 16 18:27:25 GMT 2025","passed","Mon Jun 16 18:27:26 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Login with wrong password","401","Invalid password","Surefire suite","Mon Jun 16 18:27:30 GMT 2025","passed","Mon Jun 16 18:27:31 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Validation shopping cart value","1","Validation shopping cart value","Surefire suite","Mon Jun 16 18:27:05 GMT 2025","unknown","Mon Jun 16 18:27:05 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"Validation your information form","776","Validation your information form","Surefire suite","Mon Jun 16 18:27:24 GMT 2025","passed","Mon Jun 16 18:27:25 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","390","login","Surefire suite","Mon Jun 16 18:27:33 GMT 2025","passed","Mon Jun 16 18:27:33 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Locator Validation","401","checkLocator","Surefire suite","Mon Jun 16 18:27:26 GMT 2025","passed","Mon Jun 16 18:27:27 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"Validation your information form","1187","Validation your information form","Surefire suite","Mon Jun 16 18:27:21 GMT 2025","passed","Mon Jun 16 18:27:22 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation all items from product cart","641","Validation all items from product cart","Surefire suite","Mon Jun 16 18:27:36 GMT 2025","passed","Mon Jun 16 18:27:37 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"Validation continue button","548","Validation continue button","Surefire suite","Mon Jun 16 18:27:34 GMT 2025","passed","Mon Jun 16 18:27:35 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"","376","login","Surefire suite","Mon Jun 16 18:27:32 GMT 2025","passed","Mon Jun 16 18:27:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation your information form","796","Validation your information form","Surefire suite","Mon Jun 16 18:27:23 GMT 2025","passed","Mon Jun 16 18:27:24 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Check Locator","964","checkLocator","Surefire suite","Mon Jun 16 18:27:20 GMT 2025","passed","Mon Jun 16 18:27:21 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Validation login","429","Validation login","Surefire suite","Mon Jun 16 18:27:34 GMT 2025","passed","Mon Jun 16 18:27:34 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Validation Logout","584","Validation Logout","Surefire suite","Mon Jun 16 18:27:35 GMT 2025","passed","Mon Jun 16 18:27:36 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Validation Login with empty Password","398","Validation Login with empty Password","Surefire suite","Mon Jun 16 18:27:31 GMT 2025","passed","Mon Jun 16 18:27:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 18:27:05 GMT 2025","unknown","Mon Jun 16 18:27:05 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
