"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation all items from product cart","1","Validation all items from product cart","Surefire suite","Mon Jun 16 16:49:55 GMT 2025","skipped","Mon Jun 16 16:49:55 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"Validation Login with empty Password","0","Validation Login with empty Password","Surefire suite","Mon Jun 16 16:49:54 GMT 2025","skipped","Mon Jun 16 16:49:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Validation Logout","0","Validation Logout","Surefire suite","Mon Jun 16 16:49:55 GMT 2025","skipped","Mon Jun 16 16:49:55 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"","1","Opening browser","Surefire suite","Mon Jun 16 16:49:52 GMT 2025","broken","Mon Jun 16 16:49:52 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","setup"
"","1","Opening browser","Surefire suite","Mon Jun 16 16:49:54 GMT 2025","broken","Mon Jun 16 16:49:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"Validation your information form","1","Validation your information form","Surefire suite","Mon Jun 16 16:49:52 GMT 2025","skipped","Mon Jun 16 16:49:52 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","0","login","Surefire suite","Mon Jun 16 16:49:54 GMT 2025","skipped","Mon Jun 16 16:49:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation continue button","0","Validation continue button","Surefire suite","Mon Jun 16 16:49:55 GMT 2025","skipped","Mon Jun 16 16:49:55 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"","1","Opening browser","Surefire suite","Mon Jun 16 16:49:55 GMT 2025","broken","Mon Jun 16 16:49:55 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","setup"
"Validation login","0","Validation login","Surefire suite","Mon Jun 16 16:49:49 GMT 2025","unknown","Mon Jun 16 16:49:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","0","Opening browser","Surefire suite","Mon Jun 16 16:49:55 GMT 2025","broken","Mon Jun 16 16:49:55 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","setup"
"Locator Validation","0","checkLocator","Surefire suite","Mon Jun 16 16:49:49 GMT 2025","unknown","Mon Jun 16 16:49:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"Login with wrong password","0","Invalid password","Surefire suite","Mon Jun 16 16:49:54 GMT 2025","skipped","Mon Jun 16 16:49:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Validation item form","1","Validation item form","Surefire suite","Mon Jun 16 16:49:48 GMT 2025","unknown","Mon Jun 16 16:49:48 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"Check Locator","1","checkLocator","Surefire suite","Mon Jun 16 16:49:52 GMT 2025","skipped","Mon Jun 16 16:49:52 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Validation your information form","0","Validation your information form","Surefire suite","Mon Jun 16 16:49:52 GMT 2025","skipped","Mon Jun 16 16:49:52 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation your information form","0","Validation your information form","Surefire suite","Mon Jun 16 16:49:52 GMT 2025","skipped","Mon Jun 16 16:49:52 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation shopping cart value","0","Validation shopping cart value","Surefire suite","Mon Jun 16 16:49:49 GMT 2025","unknown","Mon Jun 16 16:49:49 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"","0","Opening browser","Surefire suite","Mon Jun 16 16:49:53 GMT 2025","broken","Mon Jun 16 16:49:53 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","setup"
"","0","login","Surefire suite","Mon Jun 16 16:49:54 GMT 2025","skipped","Mon Jun 16 16:49:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation your information form","1","Validation your information form","Surefire suite","Mon Jun 16 16:49:53 GMT 2025","skipped","Mon Jun 16 16:49:53 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
