"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation Login with empty Password","412","Validation Login with empty Password","Surefire suite","Mon Jun 16 18:04:47 GMT 2025","passed","Mon Jun 16 18:04:47 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Validation login","446","Validation login","Surefire suite","Mon Jun 16 18:04:49 GMT 2025","passed","Mon Jun 16 18:04:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","413","login","Surefire suite","Mon Jun 16 18:04:48 GMT 2025","passed","Mon Jun 16 18:04:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 18:04:21 GMT 2025","unknown","Mon Jun 16 18:04:21 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"Validation Logout","650","Validation Logout","Surefire suite","Mon Jun 16 18:04:51 GMT 2025","passed","Mon Jun 16 18:04:52 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Validation your information form","821","Validation your information form","Surefire suite","Mon Jun 16 18:04:39 GMT 2025","passed","Mon Jun 16 18:04:40 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation all items from product cart","656","Validation all items from product cart","Surefire suite","Mon Jun 16 18:04:52 GMT 2025","passed","Mon Jun 16 18:04:53 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"Validation your information form","830","Validation your information form","Surefire suite","Mon Jun 16 18:04:40 GMT 2025","passed","Mon Jun 16 18:04:41 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","416","login","Surefire suite","Mon Jun 16 18:04:48 GMT 2025","passed","Mon Jun 16 18:04:48 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation continue button","563","Validation continue button","Surefire suite","Mon Jun 16 18:04:50 GMT 2025","passed","Mon Jun 16 18:04:51 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"Validation your information form","808","Validation your information form","Surefire suite","Mon Jun 16 18:04:38 GMT 2025","passed","Mon Jun 16 18:04:39 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation shopping cart value","2","Validation shopping cart value","Surefire suite","Mon Jun 16 18:04:21 GMT 2025","unknown","Mon Jun 16 18:04:21 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"Locator Validation","456","checkLocator","Surefire suite","Mon Jun 16 18:04:42 GMT 2025","passed","Mon Jun 16 18:04:42 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"Validation your information form","1243","Validation your information form","Surefire suite","Mon Jun 16 18:04:36 GMT 2025","passed","Mon Jun 16 18:04:37 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Check Locator","1022","checkLocator","Surefire suite","Mon Jun 16 18:04:35 GMT 2025","passed","Mon Jun 16 18:04:36 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Login with wrong password","431","Invalid password","Surefire suite","Mon Jun 16 18:04:46 GMT 2025","passed","Mon Jun 16 18:04:46 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
