"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with wrong password","405","Invalid password","Surefire suite","Mon Jun 16 18:55:48 GMT 2025","passed","Mon Jun 16 18:55:48 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Validation shopping cart value","1","Validation shopping cart value","Surefire suite","Mon Jun 16 18:55:30 GMT 2025","unknown","Mon Jun 16 18:55:30 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"Locator Validation","424","checkLocator","Surefire suite","Mon Jun 16 18:55:44 GMT 2025","passed","Mon Jun 16 18:55:44 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"Validation Logout","577","Validation Logout","Surefire suite","Mon Jun 16 18:55:53 GMT 2025","passed","Mon Jun 16 18:55:53 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Validation your information form","780","Validation your information form","Surefire suite","Mon Jun 16 18:55:41 GMT 2025","passed","Mon Jun 16 18:55:42 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","387","login","Surefire suite","Mon Jun 16 18:55:49 GMT 2025","passed","Mon Jun 16 18:55:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation Login with empty Password","390","Validation Login with empty Password","Surefire suite","Mon Jun 16 18:55:49 GMT 2025","passed","Mon Jun 16 18:55:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Validation login","428","Validation login","Surefire suite","Mon Jun 16 18:55:51 GMT 2025","passed","Mon Jun 16 18:55:52 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Check Locator","799","checkLocator","Surefire suite","Mon Jun 16 18:55:37 GMT 2025","passed","Mon Jun 16 18:55:38 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Validation your information form","1266","Validation your information form","Surefire suite","Mon Jun 16 18:55:38 GMT 2025","passed","Mon Jun 16 18:55:40 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation continue button","543","Validation continue button","Surefire suite","Mon Jun 16 18:55:52 GMT 2025","passed","Mon Jun 16 18:55:52 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 18:55:30 GMT 2025","unknown","Mon Jun 16 18:55:30 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"","391","login","Surefire suite","Mon Jun 16 18:55:50 GMT 2025","passed","Mon Jun 16 18:55:51 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation your information form","785","Validation your information form","Surefire suite","Mon Jun 16 18:55:43 GMT 2025","passed","Mon Jun 16 18:55:43 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation all items from product cart","803","Validation all items from product cart","Surefire suite","Mon Jun 16 18:55:54 GMT 2025","passed","Mon Jun 16 18:55:55 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"Validation your information form","801","Validation your information form","Surefire suite","Mon Jun 16 18:55:40 GMT 2025","passed","Mon Jun 16 18:55:41 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
