"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","login","Surefire suite","Mon Jun 16 16:35:50 GMT 2025","skipped","Mon Jun 16 16:35:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation Logout","0","Validation Logout","Surefire suite","Mon Jun 16 16:35:51 GMT 2025","skipped","Mon Jun 16 16:35:51 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Login with wrong password","0","Invalid password","Surefire suite","Mon Jun 16 16:35:50 GMT 2025","skipped","Mon Jun 16 16:35:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Validation your information form","0","Validation your information form","Surefire suite","Mon Jun 16 16:35:49 GMT 2025","skipped","Mon Jun 16 16:35:49 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation login","0","Validation login","Surefire suite","Mon Jun 16 16:35:39 GMT 2025","unknown","Mon Jun 16 16:35:39 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 16:35:40 GMT 2025","unknown","Mon Jun 16 16:35:40 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"Locator Validation","1","checkLocator","Surefire suite","Mon Jun 16 16:35:39 GMT 2025","unknown","Mon Jun 16 16:35:39 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"","0","Opening browser","Surefire suite","Mon Jun 16 16:35:49 GMT 2025","broken","Mon Jun 16 16:35:49 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","setup"
"Validation Login with empty Password","0","Validation Login with empty Password","Surefire suite","Mon Jun 16 16:35:50 GMT 2025","skipped","Mon Jun 16 16:35:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","0","Opening browser","Surefire suite","Mon Jun 16 16:35:51 GMT 2025","broken","Mon Jun 16 16:35:51 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","setup"
"Validation shopping cart value","0","Validation shopping cart value","Surefire suite","Mon Jun 16 16:35:40 GMT 2025","unknown","Mon Jun 16 16:35:40 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"","0","login","Surefire suite","Mon Jun 16 16:35:50 GMT 2025","skipped","Mon Jun 16 16:35:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation your information form","0","Validation your information form","Surefire suite","Mon Jun 16 16:35:48 GMT 2025","skipped","Mon Jun 16 16:35:48 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","1","Opening browser","Surefire suite","Mon Jun 16 16:35:50 GMT 2025","broken","Mon Jun 16 16:35:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"","1","Opening browser","Surefire suite","Mon Jun 16 16:35:48 GMT 2025","broken","Mon Jun 16 16:35:48 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","setup"
"Validation all items from product cart","0","Validation all items from product cart","Surefire suite","Mon Jun 16 16:35:51 GMT 2025","skipped","Mon Jun 16 16:35:51 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"Validation your information form","0","Validation your information form","Surefire suite","Mon Jun 16 16:35:48 GMT 2025","skipped","Mon Jun 16 16:35:48 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Check Locator","1","checkLocator","Surefire suite","Mon Jun 16 16:35:48 GMT 2025","skipped","Mon Jun 16 16:35:48 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"","0","Opening browser","Surefire suite","Mon Jun 16 16:35:51 GMT 2025","broken","Mon Jun 16 16:35:51 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","setup"
"Validation your information form","1","Validation your information form","Surefire suite","Mon Jun 16 16:35:48 GMT 2025","skipped","Mon Jun 16 16:35:48 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation continue button","1","Validation continue button","Surefire suite","Mon Jun 16 16:35:51 GMT 2025","skipped","Mon Jun 16 16:35:51 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
