"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation all items from product cart","653","Validation all items from product cart","Surefire suite","Mon Jun 16 17:22:32 GMT 2025","passed","Mon Jun 16 17:22:33 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"Validation Login with empty Password","395","Validation Login with empty Password","Surefire suite","Mon Jun 16 17:22:27 GMT 2025","passed","Mon Jun 16 17:22:28 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Validation your information form","1192","Validation your information form","Surefire suite","Mon Jun 16 17:22:17 GMT 2025","passed","Mon Jun 16 17:22:18 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","408","login","Surefire suite","Mon Jun 16 17:22:29 GMT 2025","passed","Mon Jun 16 17:22:29 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation your information form","806","Validation your information form","Surefire suite","Mon Jun 16 17:22:21 GMT 2025","passed","Mon Jun 16 17:22:22 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation shopping cart value","1","Validation shopping cart value","Surefire suite","Mon Jun 16 17:22:01 GMT 2025","unknown","Mon Jun 16 17:22:01 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"Login with wrong password","429","Invalid password","Surefire suite","Mon Jun 16 17:22:26 GMT 2025","passed","Mon Jun 16 17:22:27 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Check Locator","954","checkLocator","Surefire suite","Mon Jun 16 17:22:15 GMT 2025","passed","Mon Jun 16 17:22:16 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Locator Validation","455","checkLocator","Surefire suite","Mon Jun 16 17:22:22 GMT 2025","passed","Mon Jun 16 17:22:23 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"","410","login","Surefire suite","Mon Jun 16 17:22:28 GMT 2025","passed","Mon Jun 16 17:22:28 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation continue button","563","Validation continue button","Surefire suite","Mon Jun 16 17:22:30 GMT 2025","passed","Mon Jun 16 17:22:31 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"Validation login","427","Validation login","Surefire suite","Mon Jun 16 17:22:30 GMT 2025","passed","Mon Jun 16 17:22:30 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Validation your information form","818","Validation your information form","Surefire suite","Mon Jun 16 17:22:20 GMT 2025","passed","Mon Jun 16 17:22:20 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation Logout","612","Validation Logout","Surefire suite","Mon Jun 16 17:22:31 GMT 2025","passed","Mon Jun 16 17:22:32 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Validation your information form","797","Validation your information form","Surefire suite","Mon Jun 16 17:22:18 GMT 2025","passed","Mon Jun 16 17:22:19 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 17:22:01 GMT 2025","unknown","Mon Jun 16 17:22:01 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
