"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation your information form","1165","Validation your information form","Surefire suite","Mon Jun 16 18:17:44 GMT 2025","passed","Mon Jun 16 18:17:45 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","388","login","Surefire suite","Mon Jun 16 18:17:55 GMT 2025","passed","Mon Jun 16 18:17:55 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation login","401","Validation login","Surefire suite","Mon Jun 16 18:17:56 GMT 2025","passed","Mon Jun 16 18:17:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Login with wrong password","408","Invalid password","Surefire suite","Mon Jun 16 18:17:53 GMT 2025","passed","Mon Jun 16 18:17:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Validation your information form","768","Validation your information form","Surefire suite","Mon Jun 16 18:17:46 GMT 2025","passed","Mon Jun 16 18:17:46 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation your information form","760","Validation your information form","Surefire suite","Mon Jun 16 18:17:47 GMT 2025","passed","Mon Jun 16 18:17:48 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation your information form","773","Validation your information form","Surefire suite","Mon Jun 16 18:17:48 GMT 2025","passed","Mon Jun 16 18:17:49 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"","405","login","Surefire suite","Mon Jun 16 18:17:56 GMT 2025","passed","Mon Jun 16 18:17:56 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation shopping cart value","1","Validation shopping cart value","Surefire suite","Mon Jun 16 18:17:33 GMT 2025","unknown","Mon Jun 16 18:17:33 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"Validation all items from product cart","601","Validation all items from product cart","Surefire suite","Mon Jun 16 18:17:59 GMT 2025","passed","Mon Jun 16 18:18:00 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"Validation Logout","752","Validation Logout","Surefire suite","Mon Jun 16 18:17:58 GMT 2025","passed","Mon Jun 16 18:17:59 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Locator Validation","412","checkLocator","Surefire suite","Mon Jun 16 18:17:49 GMT 2025","passed","Mon Jun 16 18:17:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 18:17:33 GMT 2025","unknown","Mon Jun 16 18:17:33 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"Validation Login with empty Password","380","Validation Login with empty Password","Surefire suite","Mon Jun 16 18:17:54 GMT 2025","passed","Mon Jun 16 18:17:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Check Locator","984","checkLocator","Surefire suite","Mon Jun 16 18:17:43 GMT 2025","passed","Mon Jun 16 18:17:44 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Validation continue button","549","Validation continue button","Surefire suite","Mon Jun 16 18:17:57 GMT 2025","passed","Mon Jun 16 18:17:58 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
