"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation all items from product cart","697","Validation all items from product cart","Surefire suite","Mon Jun 16 17:25:47 GMT 2025","passed","Mon Jun 16 17:25:48 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkAllItemsFromProductCart"
"","470","login","Surefire suite","Mon Jun 16 17:25:43 GMT 2025","passed","Mon Jun 16 17:25:44 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation login","490","Validation login","Surefire suite","Mon Jun 16 17:25:44 GMT 2025","passed","Mon Jun 16 17:25:45 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Validation your information form","838","Validation your information form","Surefire suite","Mon Jun 16 17:25:35 GMT 2025","passed","Mon Jun 16 17:25:36 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Locator Validation","488","checkLocator","Surefire suite","Mon Jun 16 17:25:36 GMT 2025","passed","Mon Jun 16 17:25:37 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocator"
"","451","login","Surefire suite","Mon Jun 16 17:25:42 GMT 2025","passed","Mon Jun 16 17:25:43 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Validation shopping cart value","1","Validation shopping cart value","Surefire suite","Mon Jun 16 17:25:06 GMT 2025","unknown","Mon Jun 16 17:25:06 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkShoppingCartItemValues"
"Validation your information form","862","Validation your information form","Surefire suite","Mon Jun 16 17:25:34 GMT 2025","passed","Mon Jun 16 17:25:34 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation continue button","603","Validation continue button","Surefire suite","Mon Jun 16 17:25:45 GMT 2025","passed","Mon Jun 16 17:25:46 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShopping"
"Validation your information form","1499","Validation your information form","Surefire suite","Mon Jun 16 17:25:30 GMT 2025","passed","Mon Jun 16 17:25:32 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Login with wrong password","469","Invalid password","Surefire suite","Mon Jun 16 17:25:41 GMT 2025","passed","Mon Jun 16 17:25:41 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLocatorInvalidPassword"
"Validation Logout","760","Validation Logout","Surefire suite","Mon Jun 16 17:25:46 GMT 2025","passed","Mon Jun 16 17:25:47 GMT 2025","tests.BurgerMenuTest","Surefire test","tests.BurgerMenuTest","checkLogout"
"Check Locator","2038","checkLocator","Surefire suite","Mon Jun 16 17:25:28 GMT 2025","passed","Mon Jun 16 17:25:30 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Validation item form","0","Validation item form","Surefire suite","Mon Jun 16 17:25:06 GMT 2025","unknown","Mon Jun 16 17:25:06 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","openProductItemFromCart"
"Validation your information form","857","Validation your information form","Surefire suite","Mon Jun 16 17:25:32 GMT 2025","passed","Mon Jun 16 17:25:33 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","emptyYourInformation"
"Validation Login with empty Password","460","Validation Login with empty Password","Surefire suite","Mon Jun 16 17:25:41 GMT 2025","passed","Mon Jun 16 17:25:42 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
